RANK,ICON,NAME,SYMBOL,AMOUNT,24H VOLUME,24H CHANGE,1H CHANGE,7D CHANGE,PRICE IN BTC,MARKET CAP,AVG BUY,AVG SELL,PRICE,TOTAL,24H PROFIT,24H PROFIT PERCENT,ALL TIME PROFIT,ALL TIME PERCENT,LAST TRADE PROFIT,LAST TRADE PERCENT,CURRENT HOLDINGS PROFIT,CURRENT HOLDINGS PERCENT
7,https://static.coinstats.app/coins/1650455825065.png,USDC,USDC,1029.2,16096648098,0.01,,0.01,0.000009504179386463563,61686374297,0.9999428183731712,0.9999265619858686,0.999866,1029.0620872000002,0.01,0.102895919,-0.0016682804413075218,-2.443886845256202,-0.025855809194626333,-0.005317866180664604,-0.012625543042176814,-0.12994108251746184
6,https://static.coinstats.app/coins/1701234596791.png,Solana,SOL,1.1918,12618615750.970245,7.63,0.33,-4.02,0.0013718215793022247,76671509415.70546,188.46855057738549,185.46918411852727,144.33423313,172.017539044334,7.63,12.194498029,-1.6364465774629067,-2396.204182951624,3.234601458,0.000004522,-3.8304441663704742,-6.851477821981803
1495,https://static.coinstats.app/coins/coinbase-wrapped-btcZYG.png,Coinbase Wrapped BTC,CBBTC,0.00003942,504403148,3.91,0.07,-0.54,1.0014565186137494,10375667,103575.46738365665,106029.04845921605,105356,4.15313352,3.91,0.156277087,2.283059125,0.705788773,0.620434395,0.17041363,2.015008473,0.08203302
124,https://static.coinstats.app/coins/raydiumHdy.png,Raydium,RAY,0,94150733,10.97,0.36,-3.62,0.000019581233421393408,550964112,4.149331803438553,4.001060955263976,2.06,0,10.97,0,-3.5733668744375695,-5.7698448502646045,16.839351756,2.798101623,,
10479,https://static.coinstats.app/coins/jupiter-perpetuals-liquidity-provider-token5QX.png,Jupiter Perpetuals Liquidity Provider Token,JLP,0,87225010,4.21,0.07,-1.42,0.00004153883012208213,,3.982361646312702,4.177312047313013,4.37,0,4.21,0,4.895346488,311.474765665,2.944564755,0.661893876,,
10510,https://static.coinstats.app/coins/ethereum-wormholetCM.png,Ethereum (Wormhole),ETH,0,15302923,7,-0.01,-5.56,0.022938559462381828,,3166.294510900031,3090.0210096568303,2413.2,0,7,0,-2.4089199845632767,-535.2194804252613,-34.68466966951397,-21.35477187891966,,
3,https://static.coinstats.app/coins/1650455771843.png,Tether,USDT,0,140440194866.646,0.04,-0.01,0.09,0.000009510265870373552,156437272386.65536,1.0004173505014424,1.0004289518595149,1.000608936,0,0.04,0,0.001159652,0.323850096,-0.13334258060575097,-1.6254033542996775,,
10487,https://static.coinstats.app/coins/wrapped-btc-wormholediM.png,Wrapped BTC (Wormhole),WBTC,0,45012349,3.7,-0.05,-0.68,0.9987949917409387,,90257.73222580056,90070.4675805612,105076,0,3.7,0,-0.20747767600771774,-36.1426064901425,0.823152574,0.189831005,,
10464,https://static.coinstats.app/coins/wrapped-solanaG8Q.png,Wrapped SOL,SOL,0,1085937292,7.53,0.09,-4.53,0.0013718269938716003,,219.578963224711,219.81796221029717,144.32,0,7.53,0,0.108844209,1.599511043,25.646187521,46.251651044,,
