Type,Time,Asset,Interacted with,Digest,Gas Fee,Timestamp,total_usd_value,parsed_assets,parsed_amount,parsed_symbol,parsed_direction,tx_category,platforms,main_platform,validation_status,timestamp_utc,date
Send,1750803631245,-5SUI,0xa642647fee6a7efd53fb3c5867f069b6feca8c75b86605faf6d4e30cd589259e,8P4yNzJRskd7DCTwpkVyGd4cfWabAPFY8o3Qw7As2XrQ,0.00173888 SUI,"Tue, 24 Jun 2025 22:20:31 UTC",13.799999999999999,"[{""amount"": 5.0, ""symbol"": ""SUI"", ""direction"": ""out""}]",5.0,SUI,out,transfer,[],Unknown,processed,2025-06-24 22:20:31.245000+00:00,2025-06-24
Send,1750441180322,-1SUI,0x1df6f74ae73e453bc276d84512f1cd8387b643432163221df4f4c76112bfaf66,75Ap51BMmfYZQcFgckdAdHnBCFDqvENFzHDc4j9bWZEU,0.00075976 SUI,"Fri, 20 Jun 2025 17:39:40 UTC",2.76,"[{""amount"": 1.0, ""symbol"": ""SUI"", ""direction"": ""out""}]",1.0,SUI,out,transfer,[],Unknown,processed,2025-06-20 17:39:40.322000+00:00,2025-06-20
Receive,1750169298133,554.172706USDC,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,3BM3nzUUB72tEha8G2UBXEDTfv6VyVTVjxJurGyrh8zv,0.000776328 SUI,"Tue, 17 Jun 2025 14:08:18 UTC",554.1183970748119,"[{""amount"": 554.172706, ""symbol"": ""USDC"", ""direction"": ""in""}]",554.172706,USDC,in,transfer,[],Unknown,processed,2025-06-17 14:08:18.133000+00:00,2025-06-17
Receive,1749559361166,412.79703654CETUS,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,7Gi2bqkMLsAXequJgtZ95jptEpxiZ3GvYTFSbYWv7TzN,-0.00319604 SUI,"Tue, 10 Jun 2025 12:42:41 UTC",38.62170353571894,"[{""amount"": 412.79703654, ""symbol"": ""CETUS"", ""direction"": ""in""}]",412.79703654,CETUS,in,transfer,[],Unknown,processed,2025-06-10 12:42:41.166000+00:00,2025-06-10
Receive,1749559287150,876.298574USDC,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,951mC6UbSBgLkVdaVZpUwib2T46SF7ATzwAsMnNxKdEG,0.000776328 SUI,"Tue, 10 Jun 2025 12:41:27 UTC",876.212696739748,"[{""amount"": 876.298574, ""symbol"": ""USDC"", ""direction"": ""in""}]",876.298574,USDC,in,transfer,[],Unknown,processed,2025-06-10 12:41:27.150000+00:00,2025-06-10
Receive,1749559214742,0.18597015suiETH,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,CRAieBEV8kQgPzZCY5aQJbmJjFL5iBdFJ4bKBnw8oi2i,0.000776024 SUI,"Tue, 10 Jun 2025 12:40:14 UTC",0.0,"[{""amount"": 0.18597015, ""symbol"": ""SUIETH"", ""direction"": ""in""}]",0.18597015,SUIETH,in,transfer,[],Unknown,processed,2025-06-10 12:40:14.742000+00:00,2025-06-10
Receive,1749559189253,166SUI,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,EGVYNqwHf2sH4aMK6pXALyvCKw5WrxLhfiYpkP3CV3Lr,0.00075976 SUI,"Tue, 10 Jun 2025 12:39:49 UTC",458.15999999999997,"[{""amount"": 166.0, ""symbol"": ""SUI"", ""direction"": ""in""}]",166.0,SUI,in,transfer,[],Unknown,processed,2025-06-10 12:39:49.253000+00:00,2025-06-10
Bridge,1747071684809,-0.74222528suiETH,0x000000000000000000000000000000000000000000000000000000000000000b(Sui Bridge),FPX3UPXcoDRmShLrUYcPbvfPBxWs9BaGRNxLvXxFskxt,0.004793004 SUI,"Mon, 12 May 2025 17:41:24 UTC",0.0,"[{""amount"": 0.74222528, ""symbol"": ""SUIETH"", ""direction"": ""out""}]",0.74222528,SUIETH,out,other,"[""Sui""]",Sui,processed,2025-05-12 17:41:24.809000+00:00,2025-05-12
Receive,1747069754759,0.74222528suiETH,0x811c7733b0e283051b3639c529eeb17784f9b19d275a7c368a3979f509ea519a,zJYJ3ZmXs8dTTk2BY42paVHSWcRPvtN4PFQhFt5GB8m,-0.000518104 SUI,"Mon, 12 May 2025 17:09:14 UTC",0.0,"[{""amount"": 0.74222528, ""symbol"": ""SUIETH"", ""direction"": ""in""}]",0.74222528,SUIETH,in,transfer,[],Unknown,processed,2025-05-12 17:09:14.759000+00:00,2025-05-12
Bridge,1746732656895,-0.74657966suiETH,0x000000000000000000000000000000000000000000000000000000000000000b(Sui Bridge),665J6kW7MBnXyPTi5DXk8ztn7grqk354MdMUim1u9XdH,0.005991828 SUI,"Thu, 08 May 2025 19:30:56 UTC",0.0,"[{""amount"": 0.74657966, ""symbol"": ""SUIETH"", ""direction"": ""out""}]",0.74657966,SUIETH,out,other,"[""Sui""]",Sui,processed,2025-05-08 19:30:56.895000+00:00,2025-05-08
